Année,Université,Discipline,Niveau,LMD,CM,CM ETD,TD,Total ETD,Code de l'UE,Intitulé de l'UE
2019/2020,Toulouse 2,SDL,L1,L1,25,37.5,25,62.5,SL00201V,Langage et Langues : Diversité des Langues
2019/2020,Toulouse 2,SDL,M1,M1,1,1.5,0,1.5,SL0E802V,Dysfonctionnements Langagiers
2020/2021,Toulouse 2,SDL,L1,L1,0,0,50,50,SL00107V,Méthodologie appliquée aux SDL
2020/2021,Toulouse 2,SDL,L2,L2,0,0,12.5,12.5,SL00302V,Introduction à la PsychoLinguistique
2020/2021,Toulouse 2,SDL,M1,M1,1.5,2.25,0,2.25,SL0G702V,NeuroPsychoLinguistique
2022/2023,Toulouse 2,SDL,L1,L1,0,0,72,72,SL00201V,Unités et Diversité des Langues
2022/2023,Toulouse 2,SDL,L2,L2,0,0,12,12,SL00302V,Introduction à la PsychoLinguistique
2022/2023,Toulouse 2,SDL,L2,L2,0,0,12,12,SL00402T,Pathologie du Langage et Cognition
2023/2024,Tours,Orthoptie,L2,L2,2,3,0,3,UE26,Basse vision
2023/2024,Tours,Orthoptie,L3,L3,6,9,4,13,UE29,Vision et troubles des apprentissages
2023/2024,Tours,Orthophonie,2A,L2,3.5,5.25,10,15.25,5.2.1,Apprentissage et développement du langage écrit du graphisme et de l'écriture
2023/2024,Tours,Orthophonie,3A,L3,2,3,4,7,5.7.1,Aphasiologie bilan et évaluation
2023/2024,Tours,Orthophonie,3A,L3,0,0,18,18,6.9,Stage recherche
2023/2024,Tours,Orthophonie,4A,M1,7,10.5,6,16.5,5.7.7,Bilan évaluation et intervention orthophonique dans les troubles développementaux
2023/2024,Tours,Orthophonie,4A,M1,0,0,43,43,7.5,Méthodologie du mémoire
2023/2024,Tours,Orthophonie,5A,M2,1,1.5,42,43.5,7.3,Statistiques (2)
2023/2024,Tours,Orthophonie,5A,M2,0,0,30,30,7.5,Méthodologie du mémoire
2023/2024,Tours,Orthophonie,5A,M2,2,3,0,3,11,Séminaires professionnels
